id,title_fa,Rate,Rate_cnt,Category1,Category2,Brand,Price,Seller,Is_Fake,min_price_last_month,sub_category
4807458,آینه جیبی مدل نوتلا کد 484,0,0,برس‌ها و تجهیزات آرایشی,برس ها و تجهیزات آرایشی صورت,متفرقه,439000,استودیو هنری ژانو,False,0,beauty
1932905,اسپری خوشبو کننده بدن زنانه آنیکا مدل La vie est belle حجم 200 میلی لیتر,84,108,اسپری,,آنیکا,850000,امپر,False,0,beauty
11083554,دمنوش چای سرگل بهاره و ریشه زعفران و هل حامی - 150 گرم,0,0,مواد غذایی,نوشیدنی‌های ارگانیک,متفرقه,1355000,ادویه جات حامی,False,0,rural goods
6129447,هودی زنانه مدل W146,40,1,لباس زنانه,هودی زنانه,متفرقه,1389000,نوین کالا,True,0,clothe
11439540,بادام زمینی با پوست نمکی لوبلی - 700 گرم,0,0,مواد غذایی,خشکبار و آجیل سنتی,لوبلی,2850000,بومی و محلی لوبلی,False,0,rural goods
4212817,تفنگ بازی مدل m35,70,455,اسباب بازی,تفنگ و مبارزه,متفرقه,1170000, آرمین تویز,False,1094000,toys and kids
130223,پولیش سازهای زهی لا بلا مدل L4 A Premier,74,7,لوازم جانبی آلات موسیقی,سایر لوازم جانبی آلات موسیقی,لا بلا,3500000,موسیقی بتهوون,False,0,book & stationary & art
9995714,دستبند طلا 18 عیار زنانه فرشته مدل انار بی تو دنیا همه هیچ  WBLAGB-000090,0,0,زیورآلات طلا زنانه,دستبند طلا زنانه,فرشته,12689300,فرشته گلد گالری,False,0,clothe
6002491,اکشن فیگور مدل هاسبرو کد 3632A,0,0,اسباب بازی,جغجغه، عروسک و مدل,هاسبرو,2199400,تامین کالای ملودی,False,0,toys and kids
968332,کتاب خودت باش دختر اثر ریچل هالیس,88,6488,کتاب فلسفه و روانشناسی,,انتشارات کتاب کوله پشتی,816600,هادلند,False,680900,book & stationary & art
